ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day,company
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5FB2BE3E32478A0CC5,2023-09-01 00:00:00,001,颗粒物,6.913,20,,0,0,2023-09-02T12:35:09.307,2023-09-02T12:35:09.307,20230901,温州龙湾伟明环保能源有限公司
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5FB2BE3E32478A0CC5,2023-09-01 00:00:00,002,二氧化硫,32.856,80,,0,0,2023-09-02T12:35:09.303,2023-09-02T12:35:09.303,20230901,温州龙湾伟明环保能源有限公司
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5FB2BE3E32478A0CC5,2023-09-01 00:00:00,003,氮氧化物,80.5,250,,0,0,2023-09-02T12:35:09.303,2023-09-02T12:35:09.303,20230901,温州龙湾伟明环保能源有限公司
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5FB2BE3E32478A0CC5,2023-09-01 00:00:00,004,一氧化碳,6.24,80,,0,0,2023-09-02T12:35:09.307,2023-09-02T12:35:09.307,20230901,温州龙湾伟明环保能源有限公司
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5FB2BE3E32478A0CC5,2023-09-01 00:00:00,008,氯化氢,1.822,50,,0,0,2023-09-02T12:35:09.303,2023-09-02T12:35:09.303,20230901,温州龙湾伟明环保能源有限公司
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5F7566D0CA7902390E,2023-09-01 00:00:00,001,颗粒物,1.874,20,,0,0,2023-09-02T12:35:09.9,2023-09-03T14:30:53.077,20230901,温州龙湾伟明环保能源有限公司
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5F7566D0CA7902390E,2023-09-01 00:00:00,002,二氧化硫,42.841,80,,0,0,2023-09-02T12:35:09.9,2023-09-03T14:30:53.077,20230901,温州龙湾伟明环保能源有限公司
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5F7566D0CA7902390E,2023-09-01 00:00:00,003,氮氧化物,66.451,250,,0,0,2023-09-02T12:35:09.9,2023-09-03T14:30:53.077,20230901,温州龙湾伟明环保能源有限公司
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5F7566D0CA7902390E,2023-09-01 00:00:00,004,一氧化碳,8.248,80,,0,0,2023-09-02T12:35:09.9,2023-09-03T14:30:53.077,20230901,温州龙湾伟明环保能源有限公司
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5F7566D0CA7902390E,2023-09-01 00:00:00,008,氯化氢,3.532,50,,0,0,2023-09-02T12:35:09.9,2023-09-03T14:30:53.077,20230901,温州龙湾伟明环保能源有限公司
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5FD0CBE61B525A799D,2023-09-01 00:00:00,001,颗粒物,5.095,20,,0,0,2023-09-02T12:35:09.4,2023-09-03T14:30:53.077,20230901,温州龙湾伟明环保能源有限公司
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5FD0CBE61B525A799D,2023-09-01 00:00:00,002,二氧化硫,36.845,80,,0,0,2023-09-02T12:35:09.397,2023-09-03T14:30:53.077,20230901,温州龙湾伟明环保能源有限公司
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5FD0CBE61B525A799D,2023-09-01 00:00:00,003,氮氧化物,88.051,250,,0,0,2023-09-02T12:35:09.397,2023-09-03T14:30:53.077,20230901,温州龙湾伟明环保能源有限公司
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5FD0CBE61B525A799D,2023-09-01 00:00:00,004,一氧化碳,7.105,80,,0,0,2023-09-02T12:35:09.4,2023-09-03T14:30:53.077,20230901,温州龙湾伟明环保能源有限公司
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5FD0CBE61B525A799D,2023-09-01 00:00:00,008,氯化氢,5.85,50,,0,0,2023-09-02T12:35:09.4,2023-09-03T14:30:53.077,20230901,温州龙湾伟明环保能源有限公司
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2023-09-01 00:00:00,001,颗粒物,4.881,20,,0,0,2023-09-02T12:35:09.953,2023-09-03T14:30:53.077,20230901,哈尔滨市双琦环保资源利用有限公司
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2023-09-01 00:00:00,002,二氧化硫,45.233,80,,0,0,2023-09-02T12:35:09.953,2023-09-03T14:30:53.077,20230901,哈尔滨市双琦环保资源利用有限公司
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2023-09-01 00:00:00,003,氮氧化物,112.323,250,,0,0,2023-09-02T12:35:09.953,2023-09-03T14:30:53.077,20230901,哈尔滨市双琦环保资源利用有限公司
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2023-09-01 00:00:00,004,一氧化碳,15.019,80,,0,0,2023-09-02T12:35:09.953,2023-09-03T14:30:53.077,20230901,哈尔滨市双琦环保资源利用有限公司
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2023-09-01 00:00:00,008,氯化氢,21.422,50,,0,0,2023-09-02T12:35:09.953,2023-09-03T14:30:53.077,20230901,哈尔滨市双琦环保资源利用有限公司
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2023-09-01 00:00:00,001,颗粒物,4.049,20,,0,0,2023-09-02T12:35:09.95,2023-09-03T14:30:53.077,20230901,哈尔滨市双琦环保资源利用有限公司
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2023-09-01 00:00:00,002,二氧化硫,29.903,80,,0,0,2023-09-02T12:35:09.95,2023-09-03T14:30:53.077,20230901,哈尔滨市双琦环保资源利用有限公司
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2023-09-01 00:00:00,003,氮氧化物,186.642,250,,0,0,2023-09-02T12:35:09.95,2023-09-03T14:30:53.077,20230901,哈尔滨市双琦环保资源利用有限公司
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2023-09-01 00:00:00,004,一氧化碳,2.688,80,,0,0,2023-09-02T12:35:09.95,2023-09-03T14:30:53.077,20230901,哈尔滨市双琦环保资源利用有限公司
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2023-09-01 00:00:00,008,氯化氢,12.983,50,,0,0,2023-09-02T12:35:09.95,2023-09-03T14:30:53.077,20230901,哈尔滨市双琦环保资源利用有限公司
C9D36D642BD61777BADC9129EEF404EC,C9D36D642BD6177779CF232C38655C96,2023-09-01 00:00:00,001,颗粒物,3.43,20,,0,0,2023-09-02T12:35:11.057,2023-09-03T14:30:53.077,20230901,泰州京城环保产业有限公司
C9D36D642BD61777BADC9129EEF404EC,C9D36D642BD6177779CF232C38655C96,2023-09-01 00:00:00,002,二氧化硫,17.58,80,,0,0,2023-09-02T12:35:11.057,2023-09-03T14:30:53.077,20230901,泰州京城环保产业有限公司
C9D36D642BD61777BADC9129EEF404EC,C9D36D642BD6177779CF232C38655C96,2023-09-01 00:00:00,003,氮氧化物,87.094,250,,0,0,2023-09-02T12:35:11.057,2023-09-03T14:30:53.077,20230901,泰州京城环保产业有限公司
C9D36D642BD61777BADC9129EEF404EC,C9D36D642BD6177779CF232C38655C96,2023-09-01 00:00:00,004,一氧化碳,4.713,80,,0,0,2023-09-02T12:35:11.06,2023-09-03T14:30:53.077,20230901,泰州京城环保产业有限公司
C9D36D642BD61777BADC9129EEF404EC,C9D36D642BD6177779CF232C38655C96,2023-09-01 00:00:00,008,氯化氢,11.287,50,,0,0,2023-09-02T12:35:11.06,2023-09-03T14:30:53.077,20230901,泰州京城环保产业有限公司
C9D36D642BD61777BADC9129EEF404EC,C9D36D642BD6177750D076F61558A680,2023-09-01 00:00:00,001,颗粒物,3.85,20,,0,0,2023-09-02T12:35:10.887,2023-09-02T12:35:10.887,20230901,泰州京城环保产业有限公司
C9D36D642BD61777BADC9129EEF404EC,C9D36D642BD6177750D076F61558A680,2023-09-01 00:00:00,002,二氧化硫,27.289,80,,0,0,2023-09-02T12:35:10.887,2023-09-02T12:35:10.887,20230901,泰州京城环保产业有限公司
C9D36D642BD61777BADC9129EEF404EC,C9D36D642BD6177750D076F61558A680,2023-09-01 00:00:00,003,氮氧化物,84.37,250,,0,0,2023-09-02T12:35:10.887,2023-09-02T12:35:10.887,20230901,泰州京城环保产业有限公司
C9D36D642BD61777BADC9129EEF404EC,C9D36D642BD6177750D076F61558A680,2023-09-01 00:00:00,004,一氧化碳,2.623,80,,0,0,2023-09-02T12:35:10.887,2023-09-02T12:35:10.887,20230901,泰州京城环保产业有限公司
C9D36D642BD61777BADC9129EEF404EC,C9D36D642BD6177750D076F61558A680,2023-09-01 00:00:00,008,氯化氢,10.827,50,,0,0,2023-09-02T12:35:10.887,2023-09-02T12:35:10.887,20230901,泰州京城环保产业有限公司
866B66AF0CE56CB24026EC197DCED05F,866B66AF0CE56CB21E2D0BBE9520AA1E,2023-09-01 00:00:00,001,颗粒物,5.596,20,,0,0,2023-09-02T12:35:11.827,2023-09-03T14:30:53.077,20230901,光大城乡再生能源（灌云）有限公司
866B66AF0CE56CB24026EC197DCED05F,866B66AF0CE56CB21E2D0BBE9520AA1E,2023-09-01 00:00:00,002,二氧化硫,57.415,80,,0,0,2023-09-02T12:35:11.827,2023-09-03T14:30:53.077,20230901,光大城乡再生能源（灌云）有限公司
866B66AF0CE56CB24026EC197DCED05F,866B66AF0CE56CB21E2D0BBE9520AA1E,2023-09-01 00:00:00,003,氮氧化物,147.319,250,,0,0,2023-09-02T12:35:11.827,2023-09-03T14:30:53.077,20230901,光大城乡再生能源（灌云）有限公司
866B66AF0CE56CB24026EC197DCED05F,866B66AF0CE56CB21E2D0BBE9520AA1E,2023-09-01 00:00:00,004,一氧化碳,4.472,80,,0,0,2023-09-02T12:35:11.83,2023-09-03T14:30:53.077,20230901,光大城乡再生能源（灌云）有限公司
866B66AF0CE56CB24026EC197DCED05F,866B66AF0CE56CB21E2D0BBE9520AA1E,2023-09-01 00:00:00,008,氯化氢,9.448,50,,0,0,2023-09-02T12:35:11.83,2023-09-03T14:30:53.077,20230901,光大城乡再生能源（灌云）有限公司
8F3EAC9171F405F4E3F246DCF2B61530,8F3EAC9171F405F44B6E7B21E2016715,2023-09-01 00:00:00,001,颗粒物,,20,,0,0,2023-09-02T12:35:11.173,2023-09-03T14:30:53.077,20230901,玉环伟明环保能源有限公司
8F3EAC9171F405F4E3F246DCF2B61530,8F3EAC9171F405F44B6E7B21E2016715,2023-09-01 00:00:00,002,二氧化硫,,80,,0,0,2023-09-02T12:35:11.17,2023-09-03T14:30:53.077,20230901,玉环伟明环保能源有限公司
8F3EAC9171F405F4E3F246DCF2B61530,8F3EAC9171F405F44B6E7B21E2016715,2023-09-01 00:00:00,003,氮氧化物,,250,,0,0,2023-09-02T12:35:11.17,2023-09-03T14:30:53.077,20230901,玉环伟明环保能源有限公司
8F3EAC9171F405F4E3F246DCF2B61530,8F3EAC9171F405F44B6E7B21E2016715,2023-09-01 00:00:00,004,一氧化碳,,80,,0,0,2023-09-02T12:35:11.173,2023-09-03T14:30:53.077,20230901,玉环伟明环保能源有限公司
8F3EAC9171F405F4E3F246DCF2B61530,8F3EAC9171F405F44B6E7B21E2016715,2023-09-01 00:00:00,008,氯化氢,,50,,0,0,2023-09-02T12:35:11.17,2023-09-03T14:30:53.077,20230901,玉环伟明环保能源有限公司
8F3EAC9171F405F4E3F246DCF2B61530,8F3EAC9171F405F45D63A2AA212EA6A7,2023-09-01 00:00:00,001,颗粒物,9.7,20,,0,0,2023-09-02T12:35:11.277,2023-09-03T14:30:53.077,20230901,玉环伟明环保能源有限公司
8F3EAC9171F405F4E3F246DCF2B61530,8F3EAC9171F405F45D63A2AA212EA6A7,2023-09-01 00:00:00,002,二氧化硫,0.8,80,,0,0,2023-09-02T12:35:11.273,2023-09-03T14:30:53.077,20230901,玉环伟明环保能源有限公司
8F3EAC9171F405F4E3F246DCF2B61530,8F3EAC9171F405F45D63A2AA212EA6A7,2023-09-01 00:00:00,003,氮氧化物,193.9,250,,0,0,2023-09-02T12:35:11.273,2023-09-03T14:30:53.077,20230901,玉环伟明环保能源有限公司
8F3EAC9171F405F4E3F246DCF2B61530,8F3EAC9171F405F45D63A2AA212EA6A7,2023-09-01 00:00:00,004,一氧化碳,5.9,80,,0,0,2023-09-02T12:35:11.277,2023-09-03T14:30:53.077,20230901,玉环伟明环保能源有限公司
8F3EAC9171F405F4E3F246DCF2B61530,8F3EAC9171F405F45D63A2AA212EA6A7,2023-09-01 00:00:00,008,氯化氢,9.8,50,,0,0,2023-09-02T12:35:11.277,2023-09-03T14:30:53.077,20230901,玉环伟明环保能源有限公司
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2023-09-01 00:00:00,001,颗粒物,3.851,20,,0,0,2023-09-02T12:35:08.327,2023-09-03T14:30:53.077,20230901,滁州皖能环保电力有限公司
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2023-09-01 00:00:00,002,二氧化硫,61.531,80,,0,0,2023-09-02T12:35:08.327,2023-09-03T14:30:53.077,20230901,滁州皖能环保电力有限公司
